Schacht,Tiefe,DN Zulauf,DN Ablauf
BAPUE4002,1.41,800.0,800.0
BAPUE4003,2.27,800.0,800.0
BAPUE4004,2.27,800.0,800.0
BAPUE4005,1.12,800.0,800.0
BAPUE4010,1.17,800.0,800.0
BAPUE4012,1.53,800.0,800.0
BAPUE4013,2.22,800.0,800.0
BAPUE4014,1.74,800.0,800.0
HS-027,2.24,500.0,500.0
HS-028,3.0,500.0,500.0
HS-029,2.44,500.0,500.0
HS-030,3.0,500.0,480.0
HS-031,3.54,480.0,480.0
HS-032,2.71,480.0,480.0
HS-033,2.5,480.0,480.0
HS-034,2.62,480.0,480.0
HS-035,3.06,480.0,480.0
HS-036,2.5,480.0,480.0
HS-037,3.5,480.0,480.0
HS-038,2.55,480.0,480.0
HS-039,2.7,480.0,480.0
H-025,3.46,800.0,500.0
H-025.2,2.68,500.0,500.0
H-026,3.07,600.0,500.0
M3541,2.1,315.0,315.0
M3544,2.11,630.0,500.0
M3545,2.16,630.0,630.0
M3546,2.19,630.0,630.0
M3547,2.12,630.0,630.0
M3548,2.27,630.0,630.0
M3549,2.01,630.0,630.0
M3550,2.45,630.0,630.0
M3552,,400.0,315.0
M3553,2.28,400.0,400.0
M3554,2.61,500.0,400.0
M3556,3.11,500.0,400.0
M3557,1.97,500.0,500.0
M3559,2.01,300.0,500.0
N1321,2.34,300.0,300.0
N1324,0.47,300.0,300.0
N1325,0.88,300.0,300.0
N1327.1,0.55,400.0,300.0
N1331-1,2.95,400.0,400.0
N1331-2,1.52,400.0,400.0
N1331-3,0.96,400.0,400.0
N1331-4,1.34,400.0,400.0
N1331-5,1.38,600.0,400.0
N1331-6,1.68,600.0,600.0
N1332,1.98,400.0,400.0
N1333,1.53,400.0,400.0
N1334,2.27,400.0,400.0
N1337,3.27,400.0,400.0
W_Rï¿½,4.11,600.0,600.0
1288,2.05,500.0,300.0
1306,2.4,500.0,300.0
1307,1.14,500.0,500.0
1322,1.85,250.0,250.0
1323,1.91,300.0,250.0
1324,1.51,300.0,300.0
1325,1.41,250.0,250.0
1326,0.78,300.0,300.0
1327,0.62,400.0,300.0
1327.1,0.7,400.0,400.0
1329,1.0,300.0,300.0
1330,1.96,300.0,300.0
1331,1.44,300.0,300.0
1332,1.24,300.0,300.0
1333,1.46,300.0,300.0
1334,0.88,300.0,300.0
1335,1.55,300.0,300.0
1336,1.55,300.0,300.0
1337,2.15,300.0,300.0
1341,1.38,200.0,200.0
1342RU,2.21,200.0,300.0
1344,3.42,300.0,300.0
1345,4.6,300.0,300.0
1346,1.88,300.0,300.0
1347,1.47,300.0,300.0
1348,3.49,300.0,300.0
1348.1,2.74,300.0,300.0
1348.2,1.66,300.0,150.0
1349,2.31,400.0,400.0
24,4.06,800.0,800.0
24_Rï¿½,4.04,800.0,800.0
744,3.37,500.0,300.0
745,3.45,300.0,300.0
746,3.79,300.0,300.0
747,1.99,300.0,300.0
747.1,2.28,300.0,300.0
748,1.36,300.0,300.0
762RU,2.56,400.0,1000.0
763,2.12,1000.0,700.0
764,2.15,700.0,700.0
765,2.51,700.0,500.0
766,2.39,700.0,500.0
767,1.91,500.0,250.0
768,2.52,250.0,200.0
